x,y,z
0.18280308,-0.49027925,0.67807703
0.1828024,-0.49027958,0.678078
0.18280348,-0.49027876,0.67807775
0.18280387,-0.49027916,0.67807772
0.18280312,-0.49027841,0.67807777
0.18280323,-0.49027892,0.67807879
0.18280328,-0.49027973,0.67807794
0.18280267,-0.49027941,0.67807847
0.1828024,-0.49027866,0.67807789
0.18280355,-0.4902791,0.67807724
0.18280237,-0.4902785,0.67807757
0.18280331,-0.49027873,0.67807786
0.18280328,-0.49027831,0.67807817
0.18280348,-0.49027887,0.67807816
0.18280328,-0.49027796,0.67807777
0.18280297,-0.49027939,0.6780781
0.18280312,-0.49027793,0.67807789
0.18280328,-0.49027947,0.67807788
0.18280356,-0.49027849,0.678078
0.1828032,-0.49027817,0.67807775
0.18280234,-0.49027895,0.6780774
0.18280321,-0.49027949,0.67807752
0.18280334,-0.49027821,0.67807855
0.18280287,-0.49027791,0.67807756
0.18280273,-0.4902791,0.67807867
0.18280346,-0.49027944,0.67807737
0.18280391,-0.49027849,0.67807823
